x,y,relation
Reassignment,Reassignment,cuncurrency
Reassignment,Update from customer,cuncurrency
Reassignment,Operator Update,cuncurrency
Reassignment,Assignment,cuncurrency
Reassignment,Closed,cuncurrency
Reassignment,Caused By CI,cuncurrency
Reassignment,Update,cuncurrency
Reassignment,Status Change,cuncurrency
Reassignment,Description Update,cuncurrency
Reassignment,Analysis/Research,cuncurrency
Reassignment,Resolved,cuncurrency
Reassignment,OO Response,cuncurrency
Reassignment,Communication with customer,cuncurrency
Reassignment,External Vendor Assignment,cuncurrency
Reassignment,Pending vendor,cuncurrency
Reassignment,Open,cuncurrency
Reassignment,Communication with vendor,cuncurrency
Reassignment,Reopen,cuncurrency
Reassignment,Vendor Reference,cuncurrency
Reassignment,Urgency Change,cuncurrency
Reassignment,Impact Change,cuncurrency
Reassignment,Quality Indicator Fixed,cuncurrency
Reassignment,Problem Workaround,cuncurrency
Reassignment,Problem Closure,cuncurrency
Reassignment,Service Change,cuncurrency
Reassignment,Affected CI Change,cuncurrency
Reassignment,Referred,cuncurrency
Reassignment,Vendor Reference Change,cuncurrency
Reassignment,Incident reproduction,cuncurrency
Reassignment,Quality Indicator,cuncurrency
Reassignment,Notify By Change,cuncurrency
Reassignment,Contact Change,cuncurrency
Reassignment,Mail to Customer,cuncurrency
Reassignment,Quality Indicator Set,cuncurrency
Reassignment,Callback Request,cuncurrency
Reassignment,External update,cuncurrency
Reassignment,External Vendor Reassignment,cuncurrency
Reassignment,alert stage 1,independency
Reassignment,Dial-in,independency
Update from customer,Reassignment,cuncurrency
Update from customer,Update from customer,cuncurrency
Update from customer,Operator Update,cuncurrency
Update from customer,Assignment,cuncurrency
Update from customer,Closed,cuncurrency
Update from customer,Caused By CI,cuncurrency
Update from customer,Update,cuncurrency
Update from customer,Status Change,cuncurrency
Update from customer,Description Update,cuncurrency
Update from customer,Analysis/Research,cuncurrency
Update from customer,Resolved,cuncurrency
Update from customer,OO Response,independency
Update from customer,Communication with customer,cuncurrency
Update from customer,External Vendor Assignment,cuncurrency
Update from customer,Pending vendor,cuncurrency
Update from customer,Open,cuncurrency
Update from customer,Communication with vendor,cuncurrency
Update from customer,Reopen,cuncurrency
Update from customer,Vendor Reference,cuncurrency
Update from customer,Urgency Change,cuncurrency
Update from customer,Impact Change,cuncurrency
Update from customer,Quality Indicator Fixed,cuncurrency
Update from customer,Problem Workaround,independency
Update from customer,Problem Closure,cuncurrency
Update from customer,Service Change,cuncurrency
Update from customer,Affected CI Change,cuncurrency
Update from customer,Referred,independency
Update from customer,Vendor Reference Change,independency
Update from customer,Incident reproduction,cuncurrency
Update from customer,Quality Indicator,cuncurrency
Update from customer,Notify By Change,cuncurrency
Update from customer,Contact Change,cuncurrency
Update from customer,Mail to Customer,cuncurrency
Update from customer,Quality Indicator Set,cuncurrency
